county,name,rep_votes,dem_votes,lib_votes,ind_votes,win_code
ALLEN,001 Carlyle Township,88,39,3,0,16
ALLEN,001 Cottage Grove Township,64,20,2,0,17
ALLEN,001 Deer Creek Township,28,20,3,0,15
ALLEN,001 East Elm,108,100,11,0,14
ALLEN,001 Geneva Township,39,14,2,0,17
ALLEN,001 Humboldt Township,66,37,6,0,16
ALLEN,001 Humboldt Township Rural Enclave,0,0,0,0,0
ALLEN,001 Humboldt Township Split,0,0,0,0,0
ALLEN,001 Humboldt Ward 1,104,127,17,0,25
ALLEN,001 Humboldt Ward 2,152,139,16,0,14
ALLEN,001 Iola Ward 1,185,192,20,0,24
ALLEN,001 Iola Ward 2,268,241,11,0,15
ALLEN,001 Iola Ward 2 Exclave,0,0,0,0,0
ALLEN,001 Iola Ward 3,189,234,21,0,25
ALLEN,001 Iola Ward 4,206,218,23,0,24
ALLEN,001 Logan Township S12,53,25,4,0,16
ALLEN,001 Logan Township S15,0,0,0,0,0
ALLEN,001 Marmaton Township,121,122,19,0,24
ALLEN,001 North Elmsmore,39,18,6,0,16
ALLEN,001 North Iola Part A,70,34,6,0,16
ALLEN,001 North Iola Part A Rural Enclave,0,0,0,0,0
ALLEN,001 North Iola Part B,0,0,0,0,0
ALLEN,001 Osage Township,46,43,8,0,14
ALLEN,001 Salem Township,50,49,7,0,14
ALLEN,001 South Elmsmore,27,26,0,0,15
ALLEN,001 South Iola,137,100,14,0,15
ALLEN,001 South Iola Enclave,0,0,0,0,0
ALLEN,001 West Elm,228,183,12,0,15
ANDERSON,003 Garnett Precinct 1,187,134,25,0,15
ANDERSON,003 Garnett Precinct 1 Exclave,0,0,0,0,0
ANDERSON,003 Garnett Precinct 2,189,123,15,0,15
ANDERSON,003 Garnett Precinct 3,137,95,10,0,15
ANDERSON,003 Garnett Precinct 4,29,22,4,0,15
ANDERSON,003 Indian Creek Township,35,13,0,0,17
ANDERSON,003 Jackson Township H9,101,45,6,0,16
ANDERSON,003 Lincoln Township,48,23,5,0,16
